,Hexagon_ID,geometry,H3_centroids
0,891126d3157ffff,"POLYGON ((24.923450031338042 60.1787574935188, 24.926133638627064 60.17806851333714, 24.928589664567628 60.17908057422065, 24.928362096296365 60.18078167851094, 24.925678259772017 60.18147067030821, 24.923222220764693 60.180458546198004, 24.923450031338042 60.1787574935188))",POINT (60.17976959725576 24.925905960292344)
1,891126d3327ffff,"POLYGON ((24.95497225212708 60.17558909073175, 24.95765583235253 60.17489931503148, 24.960113351668927 60.17591092242585, 24.959887304123097 60.17761236877324, 24.95720349478415 60.178302156172414, 24.954745962115016 60.17729048552371, 24.95497225212708 60.17558909073175))",POINT (60.17660074103067 24.957429674588305)
2,891126d307bffff,"POLYGON ((24.9181357523887 60.1604116352804, 24.920817879418816 60.15972250249547, 24.923272294733167 60.16073444729428, 24.923044596031957 60.162435588095306, 24.92036223999964 60.163124732473854, 24.917907811681232 60.162112724456186, 24.9181357523887 60.1604116352804))",POINT (60.16142362290212 24.920590070802053)
3,891126d32a7ffff,"POLYGON ((24.926182027906236 60.158344014772574, 24.92886404934142 60.15765465983295, 24.93131875527781 60.158666476139715, 24.931091452865502 60.16036771061029, 24.92840920247597 60.16105707716432, 24.925954483463567 60.16004519763178, 24.926182027906236 60.158344014772574))",POINT (60.159355873913874 24.92863663698213)
4,891126d31c3ffff,"POLYGON ((24.913171862270964 60.178110785372795, 24.915855345990735 60.1774220390434, 24.918310763891245 60.1784342305571, 24.91808271105465 60.18013523161598, 24.915398998082466 60.180823989533096, 24.91294356720981 60.17981173480206, 24.913171862270964 60.178110785372795))",POINT (60.17912301972134 24.915627183152065)
5,891126d335bffff,"POLYGON ((24.94450217604616 60.15691976692228, 24.947184214851454 60.156229955995464, 24.949639818483043 60.157241513108055, 24.949413396562232 60.15894294438782, 24.946731128867636 60.15963276697765, 24.944275511993666 60.15862114662314, 24.94450217604616 60.15691976692228))",POINT (60.15793136689961 24.94695768289095)
6,891126d069bffff,"POLYGON ((24.943330168791274 60.18515246699157, 24.94601441957535 60.18446311260458, 24.94847199215405 60.18547497300306, 24.94824532721278 60.18717625103244, 24.94556084715733 60.187865617091084, 24.94310326132504 60.1868536934471, 24.943330168791274 60.18515246699157))",POINT (60.186164370285475 24.945787644418637)
7,891126d14b7ffff,"POLYGON ((24.95700787038668 60.16027604944448, 24.959690260963953 60.159585992945736, 24.962146788752758 60.16059741713872, 24.961920939334156 60.16229896108252, 24.959238319854023 60.16298902927925, 24.956781778705857 60.161977541832634, 24.95700787038668 60.16027604944448))",POINT (60.161287516527814 24.959464301414506)
8,891126d333bffff,"POLYGON ((24.950510982887277 60.17016298177679, 24.953194104978174 60.169473229453004, 24.955650989878187 60.17048484123216, 24.955424766005454 60.17218626858298, 24.952741414862704 60.17287603259145, 24.95028451665501 60.17186435756286, 24.950510982887277 60.17016298177679))",POINT (60.171174636446466 24.952967770946927)
9,891126d33a7ffff,"POLYGON ((24.941780749708666 60.177335608057334, 24.944464374471668 60.17664617166746, 24.946921299220385 60.17765797318835, 24.946694612449956 60.17935927434038, 24.944010758516768 60.18004872239447, 24.941553820534708 60.179036857630734, 24.941780749708666 60.177335608057334))",POINT (60.17834745246189 24.944237577544946)
