ORIGIN_CODE_R9,891126d06c3ffff,891126d06cbffff,891126d06d3ffff,891126d06dbffff,891126d1483ffff,891126d1487ffff,891126d148fffff,891126d1493ffff,891126d1497ffff,891126d14a3ffff,891126d14a7ffff,891126d14b3ffff,891126d14b7ffff,891126d14bbffff,891126d1593ffff,891126d159bffff,891126d15d3ffff,891126d15d7ffff,891126d3003ffff,891126d3007ffff,891126d300bffff,891126d300fffff,891126d301bffff,891126d3023ffff,891126d3027ffff,891126d302bffff,891126d302fffff,891126d3033ffff,891126d3037ffff,891126d303bffff,891126d3043ffff,891126d3047ffff,891126d304bffff,891126d304fffff,891126d3057ffff,891126d3063ffff,891126d3067ffff,891126d306bffff,891126d306fffff,891126d3073ffff,891126d3077ffff,891126d307bffff,891126d3143ffff,891126d3147ffff,891126d314bffff,891126d3153ffff,891126d3157ffff,891126d315bffff,891126d316bffff,891126d317bffff,891126d31cbffff,891126d31cfffff,891126d3207ffff,891126d3223ffff,891126d3227ffff,891126d322bffff,891126d322fffff,891126d3233ffff,891126d3237ffff,891126d3287ffff,891126d32a7ffff,891126d32abffff,891126d32afffff,891126d32b3ffff,891126d32b7ffff,891126d3303ffff,891126d3307ffff,891126d330bffff,891126d330fffff,891126d3313ffff,891126d3317ffff,891126d331bffff,891126d3323ffff,891126d3327ffff,891126d332bffff,891126d332fffff,891126d3333ffff,891126d3337ffff,891126d333bffff,891126d3343ffff,891126d3347ffff,891126d334bffff,891126d334fffff,891126d3353ffff,891126d3357ffff,891126d335bffff,891126d3363ffff,891126d3367ffff,891126d336bffff,891126d336fffff,891126d3373ffff,891126d3377ffff,891126d337bffff,891126d3383ffff,891126d3387ffff,891126d338bffff,891126d338fffff,891126d3393ffff,891126d3397ffff,891126d339bffff,891126d33a3ffff,891126d33a7ffff,891126d33abffff,891126d33afffff,891126d33b3ffff,891126d33b7ffff,891126d33bbffff,891126d33c3ffff,891126d33c7ffff,891126d33cbffff,891126d33cfffff,891126d33d3ffff,891126d33d7ffff,891126d33dbffff
891126d06c3ffff,,,4093.241361844445,4468.17267788889,,,,,,,,,,,,,,,,,,,,17383.235265822223,,,,20672.59575317221,,,,,,,,,16668.728519255565,,,,,,,,,,,,11215.774046399998,,21073.643694483333,23261.13047817221,,,,,,,,,,,,,,,7964.621873444444,,9025.72541391111,15881.470010933337,,14283.042405488903,,,,,10238.132218922216,9728.075239088888,,,,,,,,,,,,,,,,,,15696.77968911111,,,,,6957.951689772221,10174.773902766665,,5080.513843144444,,,,,31019.410849311105,,,,16056.62456222223,
891126d06cbffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3056.1314330555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891126d06dbffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16769.992709322236,,17066.906241077784,,,,,,,,,37771.471732399994,,,17543.39825746667,20571.195168377777,36183.113615988914,,,,,,,,5730.535534500001,,,27294.767343977797,,12048.95606654445,,,,,8004.045879977778,2629.9512806000007,,12880.388676050006,,,,,12381.812574172227,15275.818117544448,,,,,,,,,24662.681189377774,,42674.87405642223,,,,,,,,46557.972654199984,,21728.024086922225,,,,27296.78361386667,,,16960.435330533342
891126d1497ffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11974.929310594449,,15604.28034285556,,,,,,,,,,,,,,,13783.956305933332,,4728.508701777779,,6086.5732156444465,,,,,,,,,,,,,,,,,,,,,,,,,,,2980.076546805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,7729.483292961112
891126d14b7ffff,,,,,,,,,8003.387627161111,15024.531587333331,,5730.357628333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11060.47382331111,,13458.287207438892,,,,,,,,,,,8230.484848911117,22878.566987577786,,,,,,,,,,7675.892025355557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891126d14bbffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14780.74083694445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891126d15d7ffff,,89133.08879276663,,,,,,,,,,,,,7766.713123438883,,6576.526798644446,,50670.902298488894,,,,,,,,,,,,,,,,,36763.18260261112,,,16297.889045044443,20809.796988905553,,21274.464175416666,,,,,,,,,,,,,,,,,,,,,,,,30307.145720444445,10829.106853561107,19133.428691844438,25224.425840833326,75572.21430655556,,24017.522266577776,,47151.645532366645,16319.083599699989,59984.50877941664,,,,,20149.23732227777,,92790.19911723332,,,,8622.18678626667,21371.574011666668,,41526.104015200006,61605.48971826664,71107.8613339111,,,,,,,,,,,,,,,,15521.459092066672,26470.848304911116,,13527.777356138888,,29884.32206433335,
891126d300bffff,25248.354220249996,,,24744.654420772225,,,,,,,,,,,,,,,11721.0987222,,,17301.23238339999,1744.0912445055558,,10816.860979088882,7285.868336172221,32447.594113666666,,,,,2744.054365694444,,,13574.744094488888,6635.407809605557,,,,,5451.050876872221,10010.7336448,,,,,,,,,,,,,,,,,,,,,,,,33775.54504372224,,,,28620.67828332224,30892.07747562223,,,,,,,,,,,,,,,,,,,,,,,21255.090193866665,,,12520.365896772226,,,,,23300.928087655564,,,,,,,,,,14308.886241299997,,
891126d301bffff,,,,,,,,,,,,,,,,,,,,,3909.6540582555554,,,,,,,,,,,,,,,,,,,3605.7784651777806,7075.595107583331,,,19254.363373738895,17154.05061171667,,17119.20472387222,,,,,,,,,,,,,,,,,,,,20850.715407238888,,,,,,,,,,17376.136809772222,19607.58420724444,,,,,,,,,,,,,,,,36756.26798293332,14361.433792727776,,,,,20187.00087125556,,,,,,,,,,,,,,
891126d3023ffff,,,,,,,,,,,,,,,,,20677.167941655545,,,7166.054463127777,16568.021768511113,6790.464894266666,10047.274483322222,,47665.364441333324,42302.78211191668,24281.28594927778,48538.13945166668,52243.0941305,3280.9218048444445,,,,,,18572.47868793333,,,16056.209447833331,7040.043525277778,21578.341509472226,,,,15011.87652867779,,7471.092376494448,,,,29394.576038527783,,,,,,,,,,,,,,,89569.81285070002,,53761.46450499999,29465.12769402223,49403.47504633335,,11558.563648333338,,,,,,,,,,,,,,,35233.78258983334,,,,63844.284640422295,48283.18212421666,,5888.759348927781,,,23344.74044630001,10494.79151536667,,6111.930774600003,,,,,,,,9327.845666144442,,,13060.067974177773,,7524.742946155554,
