"from_id","to_id","travel_time_p50"
"891126d33c7ffff","891126d33c7ffff",0
"891126d33c7ffff","891126d33c3ffff",7
"891126d33c7ffff","891126d33cfffff",7
"891126d33c7ffff","891126d331bffff",6
"891126d33c7ffff","891126d3313ffff",8
"891126d33c7ffff","891126d338bffff",8
"891126d33c7ffff","891126d33d7ffff",7
"891126d33c7ffff","891126d33d3ffff",9
"891126d33c7ffff","891126d33dbffff",13
"891126d33c7ffff","891126d33cbffff",10
"891126d33c7ffff","891126d3353ffff",11
"891126d33c7ffff","891126d3357ffff",11
"891126d33c7ffff","891126d330bffff",13
"891126d33c7ffff","891126d3303ffff",10
"891126d33c7ffff","891126d3317ffff",13
"891126d33c7ffff","891126d338fffff",13
"891126d33c7ffff","891126d3383ffff",12
"891126d33c7ffff","891126d339bffff",11
"891126d33c7ffff","891126d306fffff",14
"891126d33c7ffff","891126d306bffff",15
"891126d33c7ffff","891126d32a7ffff",15
"891126d33c7ffff","891126d32afffff",14
"891126d33c7ffff","891126d3237ffff",12
"891126d33c7ffff","891126d3227ffff",11
"891126d33c7ffff","891126d335bffff",14
"891126d33c7ffff","891126d3343ffff",15
"891126d33c7ffff","891126d3347ffff",17
"891126d33c7ffff","891126d3373ffff",18
"891126d33c7ffff","891126d330fffff",16
"891126d33c7ffff","891126d3307ffff",17
"891126d33c7ffff","891126d33abffff",20
"891126d33c7ffff","891126d33bbffff",17
"891126d33c7ffff","891126d3387ffff",16
"891126d33c7ffff","891126d3397ffff",18
"891126d33c7ffff","891126d3393ffff",13
"891126d33c7ffff","891126d3067ffff",17
"891126d33c7ffff","891126d3063ffff",19
"891126d33c7ffff","891126d307bffff",21
"891126d33c7ffff","891126d32b7ffff",24
"891126d33c7ffff","891126d32a3ffff",19
"891126d33c7ffff","891126d32abffff",14
"891126d33c7ffff","891126d3233ffff",16
"891126d33c7ffff","891126d3223ffff",15
"891126d33c7ffff","891126d322fffff",15
"891126d33c7ffff","891126d1497ffff",18
"891126d33c7ffff","891126d334bffff",17
"891126d33c7ffff","891126d334fffff",17
"891126d33c7ffff","891126d337bffff",21
"891126d33c7ffff","891126d3363ffff",23
"891126d33c7ffff","891126d3377ffff",18
"891126d33c7ffff","891126d333bffff",20
"891126d33c7ffff","891126d3333ffff",17
"891126d33c7ffff","891126d33afffff",23
"891126d33c7ffff","891126d33a3ffff",24
"891126d33c7ffff","891126d33b3ffff",20
"891126d33c7ffff","891126d314bffff",16
"891126d33c7ffff","891126d315bffff",19
"891126d33c7ffff","891126d302fffff",18
"891126d33c7ffff","891126d302bffff",18
"891126d33c7ffff","891126d3077ffff",26
"891126d33c7ffff","891126d3073ffff",20
"891126d33c7ffff","891126d3047ffff",21
"891126d33c7ffff","891126d304fffff",25
"891126d33c7ffff","891126d32b3ffff",28
"891126d33c7ffff","891126d32bbffff",21
"891126d33c7ffff","891126d3217ffff",22
"891126d33c7ffff","891126d3207ffff",19
"891126d33c7ffff","891126d1487ffff",21
"891126d33c7ffff","891126d14b3ffff",17
"891126d33c7ffff","891126d14b7ffff",19
"891126d33c7ffff","891126d336bffff",29
"891126d33c7ffff","891126d336fffff",21
"891126d33c7ffff","891126d3367ffff",22
"891126d33c7ffff","891126d332bffff",24
"891126d33c7ffff","891126d3323ffff",23
"891126d33c7ffff","891126d3337ffff",22
"891126d33c7ffff","891126d06dbffff",20
"891126d33c7ffff","891126d33a7ffff",23
"891126d33c7ffff","891126d33b7ffff",26
"891126d33c7ffff","891126d314fffff",22
"891126d33c7ffff","891126d3143ffff",17
"891126d33c7ffff","891126d3153ffff",18
"891126d33c7ffff","891126d3027ffff",18
"891126d33c7ffff","891126d3023ffff",22
"891126d33c7ffff","891126d303bffff",25
"891126d33c7ffff","891126d300fffff",23
"891126d33c7ffff","891126d300bffff",20
"891126d33c7ffff","891126d3057ffff",26
"891126d33c7ffff","891126d3043ffff",24
"891126d33c7ffff","891126d304bffff",28
"891126d33c7ffff","891126d3287ffff",28
"891126d33c7ffff","891126d328fffff",24
"891126d33c7ffff","891126d3213ffff",27
"891126d33c7ffff","891126d3203ffff",25
"891126d33c7ffff","891126d148fffff",27
"891126d33c7ffff","891126d14bbffff",24
"891126d33c7ffff","891126d14a3ffff",23
"891126d33c7ffff","891126d15d3ffff",26
"891126d33c7ffff","891126d15d7ffff",23
"891126d33c7ffff","891126d159bffff",26
"891126d33c7ffff","891126d1593ffff",28
"891126d33c7ffff","891126d332fffff",27
"891126d33c7ffff","891126d3327ffff",28
"891126d33c7ffff","891126d06cbffff",23
"891126d33c7ffff","891126d06c3ffff",20
"891126d33c7ffff","891126d06d3ffff",21
"891126d33c7ffff","891126d316bffff",25
"891126d33c7ffff","891126d317bffff",31
"891126d33c7ffff","891126d3147ffff",19
"891126d33c7ffff","891126d3157ffff",20
"891126d33c7ffff","891126d31cfffff",21
"891126d33c7ffff","891126d31cbffff",20
"891126d33c7ffff","891126d3037ffff",23
"891126d33c7ffff","891126d3033ffff",28
"891126d33c7ffff","891126d3007ffff",31
"891126d33c7ffff","891126d3003ffff",26
"891126d33c7ffff","891126d301bffff",24
"891126d33c3ffff","891126d33c7ffff",7
"891126d33c3ffff","891126d33c3ffff",0
"891126d33c3ffff","891126d33cfffff",6
"891126d33c3ffff","891126d331bffff",9
"891126d33c3ffff","891126d3313ffff",14
"891126d33c3ffff","891126d338bffff",14
"891126d33c3ffff","891126d33d7ffff",5
"891126d33c3ffff","891126d33d3ffff",6
"891126d33c3ffff","891126d33dbffff",7
"891126d33c3ffff","891126d33cbffff",5
"891126d33c3ffff","891126d3353ffff",11
"891126d33c3ffff","891126d3357ffff",13
"891126d33c3ffff","891126d330bffff",16
"891126d33c3ffff","891126d3303ffff",16
"891126d33c3ffff","891126d3317ffff",17
"891126d33c3ffff","891126d338fffff",17
"891126d33c3ffff","891126d3383ffff",17
"891126d33c3ffff","891126d339bffff",12
"891126d33c3ffff","891126d306fffff",12
"891126d33c3ffff","891126d306bffff",12
"891126d33c3ffff","891126d32a7ffff",9
"891126d33c3ffff","891126d32afffff",15
"891126d33c3ffff","891126d3237ffff",13
"891126d33c3ffff","891126d3227ffff",11
"891126d33c3ffff","891126d335bffff",16
"891126d33c3ffff","891126d3343ffff",15
"891126d33c3ffff","891126d3347ffff",19
"891126d33c3ffff","891126d3373ffff",22
"891126d33c3ffff","891126d330fffff",21
"891126d33c3ffff","891126d3307ffff",20
"891126d33c3ffff","891126d33abffff",23
"891126d33c3ffff","891126d33bbffff",21
"891126d33c3ffff","891126d3387ffff",20
"891126d33c3ffff","891126d3397ffff",21
"891126d33c3ffff","891126d3393ffff",16
"891126d33c3ffff","891126d3067ffff",15
"891126d33c3ffff","891126d3063ffff",17
"891126d33c3ffff","891126d307bffff",19
"891126d33c3ffff","891126d32b7ffff",21
"891126d33c3ffff","891126d32a3ffff",21
"891126d33c3ffff","891126d32abffff",16
"891126d33c3ffff","891126d3233ffff",18
"891126d33c3ffff","891126d3223ffff",14
"891126d33c3ffff","891126d322fffff",13
"891126d33c3ffff","891126d1497ffff",19
"891126d33c3ffff","891126d334bffff",21
"891126d33c3ffff","891126d334fffff",20
"891126d33c3ffff","891126d337bffff",25
"891126d33c3ffff","891126d3363ffff",28
"891126d33c3ffff","891126d3377ffff",25
"891126d33c3ffff","891126d333bffff",24
"891126d33c3ffff","891126d3333ffff",20
"891126d33c3ffff","891126d33afffff",27
"891126d33c3ffff","891126d33a3ffff",27
"891126d33c3ffff","891126d33b3ffff",24
