,Hexagon_ID,geometry,H3_centroids
0,891126d33c7ffff,"POLYGON ((24.935774600547635 60.16409258104006, 24.93845714153179 60.16340308594504, 24.940912784816327 60.164414832776764, 24.940685900295378 60.166116137937166, 24.93800313030377 60.16680564467473, 24.935547473851074 60.165793834607726, 24.935774600547635 60.16409258104006))",POINT (60.165104370729615 24.93823014697343)
1,891126d33c3ffff,"POLYGON ((24.93354647557348 60.16137952485333, 24.936228787581033 60.16069004139373, 24.9386841139821 60.16170179032398, 24.93845714153179 60.16340308594504, 24.935774600547635 60.16409258104006, 24.933319261000886 60.16308076887696, 24.93354647557348 60.16137952485333))",POINT (60.1623913166344 24.9360017051232)
2,891126d33cfffff,"POLYGON ((24.9386841139821 60.16170179032398, 24.941366487566548 60.16101218994494, 24.943822117658193 60.16202387353916, 24.943595387368774 60.16372522074834, 24.940912784816327 60.164414832776764, 24.93845714153179 60.16340308594504, 24.9386841139821 60.16170179032398))",POINT (60.162713516778346 24.94113964723899)
3,891126d331bffff,"POLYGON ((24.940912784816327 60.164414832776764, 24.943595387368774 60.16372522074834, 24.946051334388663 60.16473690222543, 24.945824692081892 60.16643825896927, 24.9431418605306 60.1671278826542, 24.940685900295378 60.166116137937166, 24.940912784816327 60.164414832776764))",POINT (60.165426557121 24.94336863499402)
4,891126d3313ffff,"POLYGON ((24.93800313030377 60.16680564467473, 24.940685900295378 60.166116137937166, 24.9431418605306 60.1671278826542, 24.94291506397535 60.16882919734489, 24.940232064945473 60.16951871573215, 24.937776091519627 60.16850690777742, 24.93800313030377 60.16680564467473))",POINT (60.16781743225663 24.94045899367283)
5,891126d338bffff,"POLYGON ((24.932864765460398 60.166483224411905, 24.935547473851074 60.165793834607726, 24.93800313030377 60.16680564467473, 24.937776091519627 60.16850690777742, 24.93509315408211 60.16919630921732, 24.932637484486047 60.16818443591725, 24.932864765460398 60.166483224411905))",POINT (60.16749507733448 24.935320325030318)
6,891126d33d7ffff,"POLYGON ((24.93063678162617 60.16377014705252, 24.933319261000886 60.16308076887696, 24.935774600547635 60.16409258104006, 24.935547473851074 60.165793834607726, 24.932864765460398 60.166483224411905, 24.930409412792713 60.1654713490182, 24.93063678162617 60.16377014705252))",POINT (60.16478200206416 24.933092024297583)
7,891126d33d3ffff,"POLYGON ((24.92840920247597 60.16105707716432, 24.931091452865502 60.16036771061029, 24.93354647557348 60.16137952485333, 24.933319261000886 60.16308076887696, 24.93063678162617 60.16377014705252, 24.928181745819735 60.162758269581296, 24.92840920247597 60.16105707716432))",POINT (60.16206893424887 24.930864128316045)
8,891126d33dbffff,"POLYGON ((24.93131875527781 60.158666476139715, 24.934000838339582 60.157977004308506, 24.936455847924368 60.1589887553211, 24.936228787581033 60.16069004139373, 24.93354647557348 60.16137952485333, 24.931091452865502 60.16036771061029, 24.93131875527781 60.158666476139715))",POINT (60.15967826999614 24.933773668018645)
9,891126d33cbffff,"POLYGON ((24.936455847924368 60.1589887553211, 24.939137992571556 60.15829916658429, 24.941593305802186 60.15931085227947, 24.941366487566548 60.16101218994494, 24.9386841139821 60.16170179032398, 24.936228787581033 60.16069004139373, 24.936455847924368 60.1589887553211))",POINT (60.160000483869396 24.938911064327637)
10,891126d3353ffff,"POLYGON ((24.941593305802186 60.15931085227947, 24.944275511993666 60.15862114662314, 24.946731128867636 60.15963276697765, 24.946504552778304 60.16133415622662, 24.943822117658193 60.16202387353916, 24.941366487566548 60.16101218994494, 24.941593305802186 60.15931085227947))",POINT (60.160322515496425 24.94404882586538)
11,891126d3357ffff,"POLYGON ((24.943822117658193 60.16202387353916, 24.946504552778304 60.16133415622662, 24.948960486558022 60.16234577446158, 24.948733998468207 60.16404717324959, 24.946051334388663 60.16473690222543, 24.943595387368774 60.16372522074834, 24.943822117658193 60.16202387353916))",POINT (60.163035534643534 24.946277954619735)
12,891126d330bffff,"POLYGON ((24.946051334388663 60.16473690222543, 24.948733998468207 60.16404717324959, 24.951190249220833 60.165058789348784, 24.95096384916696 60.166760197666775, 24.948280956097147 60.167449938313055, 24.945824692081892 60.16643825896927, 24.946051334388663 60.16473690222543))",POINT (60.16574856120106 24.948507488315688)
13,891126d3303ffff,"POLYGON ((24.9431418605306 60.1671278826542, 24.945824692081892 60.16643825896927, 24.948280956097147 60.167449938313055, 24.948054401809426 60.16915130458251, 24.945371341228466 60.16984093993104, 24.94291506397535 60.16882919734489, 24.9431418605306 60.1671278826542))",POINT (60.16813960487213 24.94559802769621)
