,Hexagon_ID,geometry,H3_centroids
0,891126d33d7ffff,"POLYGON ((24.93063678162617 60.16377014705252, 24.933319261000886 60.16308076887696, 24.935774600547635 60.16409258104006, 24.935547473851074 60.165793834607726, 24.932864765460398 60.166483224411905, 24.930409412792713 60.1654713490182, 24.93063678162617 60.16377014705252))",POINT (60.16478200206416 24.933092024297583)
1,891126d148bffff,"POLYGON ((24.95322685770466 60.14974562713211, 24.955908394392274 60.14905550043438, 24.95836395814834 60.150066867807986, 24.958137998543858 60.15176842512629, 24.955456233085084 60.15245856350747, 24.953000656012442 60.1514471328853, 24.95322685770466 60.14974562713211))",POINT (60.15075703737728 24.955682324745887)
2,891126d3213ffff,"POLYGON ((24.922411918810297 60.14781435652113, 24.925093086397002 60.14712493113219, 24.927546829387886 60.14813669031266, 24.92731941783605 60.14983793810114, 24.92463802142681 60.15052737509001, 24.922184265402436 60.1495155526889, 24.922411918810297 60.14781435652113))",POINT (60.14882615851742 24.924865564986955)
3,891126d33c7ffff,"POLYGON ((24.935774600547635 60.16409258104006, 24.93845714153179 60.16340308594504, 24.940912784816327 60.164414832776764, 24.940685900295378 60.166116137937166, 24.93800313030377 60.16680564467473, 24.935547473851074 60.165793834607726, 24.935774600547635 60.16409258104006))",POINT (60.165104370729615 24.93823014697343)
4,891126d33d3ffff,"POLYGON ((24.92840920247597 60.16105707716432, 24.931091452865502 60.16036771061029, 24.93354647557348 60.16137952485333, 24.933319261000886 60.16308076887696, 24.93063678162617 60.16377014705252, 24.928181745819735 60.162758269581296, 24.92840920247597 60.16105707716432))",POINT (60.16206893424887 24.930864128316045)
5,891126d3223ffff,"POLYGON ((24.937136896299368 60.15388483214084, 24.9398186447259 60.153195149775534, 24.94227362798998 60.154206774320684, 24.94204687601068 60.15590814446437, 24.93936489871707 60.15659783847163, 24.93690990228031 60.155586150691654, 24.937136896299368 60.15388483214084))",POINT (60.1548964995344 24.939591782767437)
6,891126d3357ffff,"POLYGON ((24.943822117658193 60.16202387353916, 24.946504552778304 60.16133415622662, 24.948960486558022 60.16234577446158, 24.948733998468207 60.16404717324959, 24.946051334388663 60.16473690222543, 24.943595387368774 60.16372522074834, 24.943822117658193 60.16202387353916))",POINT (60.163035534643534 24.946277954619735)
7,891126d3383ffff,"POLYGON ((24.929954608682035 60.16887372042383, 24.932637484486047 60.16818443591725, 24.93509315408211 60.16919630921732, 24.934865961003315 60.17089753025326, 24.9321828561131 60.17158682638875, 24.929727173398394 60.17057488985783, 24.929954608682035 60.16887372042383))",POINT (60.169885636577206 24.93241018137133)
8,891126d3377ffff,"POLYGON ((24.953420416959673 60.16777181161406, 24.956103371506817 60.1670819539925, 24.95856024307442 60.168093502519994, 24.958334173437773 60.16979497191914, 24.955650989878187 60.17048484123216, 24.953194104978174 60.169473229453004, 24.953420416959673 60.16777181161406))",POINT (60.16878340303436 24.955877191710904)
9,891126d33afffff,"POLYGON ((24.944691149300155 60.174944880014195, 24.947374606498958 60.17425533830623, 24.949831517989555 60.17526707658208, 24.949604985549936 60.17696841980937, 24.946921299220385 60.17765797318835, 24.944464374471668 60.17664617166746, 24.944691149300155 60.174944880014195))",POINT (60.17595666117598 24.94714796390231)
10,891126d314bffff,"POLYGON ((24.929272236358255 60.173977196173325, 24.93195550870799 60.173288005349, 24.93441150844076 60.17429993977256, 24.93418424895064 60.17600112824995, 24.93150074744444 60.176690330703515, 24.929044734595344 60.175678333048886, 24.929272236358255 60.173977196173325))",POINT (60.17498917345491 24.931728139152845)
11,891126d302fffff,"POLYGON ((24.921905769822317 60.170941129494636, 24.924588751339126 60.17025206721173, 24.927044130174306 60.171264069060065, 24.926816540549748 60.172965196413756, 24.924133329898808 60.17365427030484, 24.921677938017034 60.17264220523251, 24.921905769822317 60.170941129494636))",POINT (60.17195317418468 24.92436105171015)
12,891126d3077ffff,"POLYGON ((24.917451863667353 60.1655148702956, 24.920134387008396 60.16482583120772, 24.922589132098533 60.16583783718512, 24.922361366859853 60.16753894546795, 24.919678614446365 60.16822799614981, 24.91722385635452 60.16721592695331, 24.917451863667353 60.1655148702956))",POINT (60.16652691910069 24.91990651182505)
13,891126d3047ffff,"POLYGON ((24.912999575486197 60.16008864115987, 24.915681640774874 60.15939962523856, 24.9181357523887 60.1604116352804, 24.917907811681232 60.162112724456186, 24.915225517381778 60.16280175195724, 24.912771392811077 60.16178967870117, 24.912999575486197 60.16008864115987))",POINT (60.161100694015346 24.91545359018243)
14,891126d32b3ffff,"POLYGON ((24.918819441352273 60.15530830276435, 24.92150117218773 60.15461907629575, 24.923955257813514 60.15563095990245, 24.92372762562071 60.15733213319487, 24.921045665853175 60.15802137125687, 24.91859156722101 60.1570094244315, 24.918819441352273 60.15530830276435))",POINT (60.15632022918931 24.921273430108435)
15,891126d301bffff,"POLYGON ((24.904953168754673 60.16215524465549, 24.907635339465013 60.16146645086752, 24.91008916028563 60.16247858933869, 24.909860823291314 60.16417958480363, 24.90717842352241 60.16486839015057, 24.90472458981687 60.16385618847205, 24.904953168754673 60.16215524465549))",POINT (60.16316742592871 24.907406892617228)
