,ORIGIN_CODE_R9,DESTINATION_CODE_R9,DAY,NUMBER_OF_USERS,EXTRAPOLATED_NUMBER_OF_USERS
1167150,891126d06c3ffff,891126d06c3ffff,2023-06-01,6,985.0
1167151,891126d06c3ffff,891126d06c3ffff,2023-06-02,5,814.0
1167152,891126d06c3ffff,891126d06c3ffff,2023-06-03,8,1328.0
1167153,891126d06c3ffff,891126d06c3ffff,2023-06-04,3,479.0
1167154,891126d06c3ffff,891126d06c3ffff,2023-06-05,12,1791.0
1167155,891126d06c3ffff,891126d06c3ffff,2023-06-06,8,1159.0
1167156,891126d06c3ffff,891126d06c3ffff,2023-06-07,9,1332.0
1167157,891126d06c3ffff,891126d06c3ffff,2023-06-08,10,1502.0
1167158,891126d06c3ffff,891126d06c3ffff,2023-06-09,9,1349.0
1167159,891126d06c3ffff,891126d06c3ffff,2023-06-10,12,1896.0
1167160,891126d06c3ffff,891126d06c3ffff,2023-06-11,6,931.0
1167161,891126d06c3ffff,891126d06c3ffff,2023-06-12,4,581.0
1167162,891126d06c3ffff,891126d06c3ffff,2023-06-13,9,1361.0
1167163,891126d06c3ffff,891126d06c3ffff,2023-06-14,7,1070.0
1167164,891126d06c3ffff,891126d06c3ffff,2023-06-15,4,623.0
1167165,891126d06c3ffff,891126d06c3ffff,2023-06-16,6,943.0
1167166,891126d06c3ffff,891126d06c3ffff,2023-06-17,7,1182.0
1167167,891126d06c3ffff,891126d06c3ffff,2023-06-18,5,925.0
1167168,891126d06c3ffff,891126d06c3ffff,2023-06-19,3,543.0
1167169,891126d06c3ffff,891126d06c3ffff,2023-06-20,4,675.0
1167170,891126d06c3ffff,891126d06c3ffff,2023-06-21,4,714.0
1167171,891126d06c3ffff,891126d06c3ffff,2023-06-22,3,570.0
1167172,891126d06c3ffff,891126d06c3ffff,2023-06-23,1,194.0
1167173,891126d06c3ffff,891126d06c3ffff,2023-06-25,2,446.0
1167174,891126d06c3ffff,891126d06c3ffff,2023-06-26,3,670.0
1167175,891126d06c3ffff,891126d06c3ffff,2023-06-27,2,460.0
1167176,891126d06c3ffff,891126d06c3ffff,2023-06-29,2,482.0
1167177,891126d06c3ffff,891126d06c3ffff,2023-06-30,1,245.0
1167186,891126d06c3ffff,891126d06cbffff,2023-06-10,1,158.0
1167191,891126d06c3ffff,891126d06d3ffff,2023-06-05,1,149.0
1167192,891126d06c3ffff,891126d06d3ffff,2023-06-09,1,150.0
1167193,891126d06c3ffff,891126d06d3ffff,2023-06-14,1,153.0
1167194,891126d06c3ffff,891126d06d3ffff,2023-06-19,1,181.0
1167209,891126d06c3ffff,891126d06dbffff,2023-06-03,1,166.0
1167210,891126d06c3ffff,891126d06dbffff,2023-06-05,2,298.0
1167211,891126d06c3ffff,891126d06dbffff,2023-06-07,1,148.0
1167212,891126d06c3ffff,891126d06dbffff,2023-06-18,2,370.0
1167213,891126d06c3ffff,891126d06dbffff,2023-06-22,1,190.0
1167274,891126d06c3ffff,891126d3027ffff,2023-06-16,1,157.0
1167275,891126d06c3ffff,891126d3067ffff,2023-06-02,1,163.0
1167297,891126d06c3ffff,891126d3147ffff,2023-06-03,1,166.0
1167298,891126d06c3ffff,891126d3147ffff,2023-06-05,1,149.0
1167299,891126d06c3ffff,891126d3147ffff,2023-06-06,1,145.0
1167300,891126d06c3ffff,891126d3147ffff,2023-06-07,1,148.0
1167301,891126d06c3ffff,891126d3147ffff,2023-06-08,2,301.0
1167302,891126d06c3ffff,891126d3147ffff,2023-06-09,2,299.0
1167303,891126d06c3ffff,891126d3147ffff,2023-06-13,1,151.0
1167304,891126d06c3ffff,891126d3147ffff,2023-06-15,2,311.0
1167305,891126d06c3ffff,891126d3147ffff,2023-06-16,1,157.0
1167306,891126d06c3ffff,891126d3147ffff,2023-06-17,1,169.0
1167307,891126d06c3ffff,891126d3147ffff,2023-06-19,1,181.0
1167308,891126d06c3ffff,891126d3153ffff,2023-06-06,1,145.0
1167309,891126d06c3ffff,891126d3153ffff,2023-06-16,1,157.0
1167310,891126d06c3ffff,891126d3157ffff,2023-06-06,1,145.0
1167311,891126d06c3ffff,891126d3157ffff,2023-06-16,1,157.0
1167320,891126d06c3ffff,891126d316bffff,2023-06-13,1,151.0
1167337,891126d06c3ffff,891126d31cfffff,2023-06-16,1,157.0
1167338,891126d06c3ffff,891126d3227ffff,2023-06-07,1,148.0
1167339,891126d06c3ffff,891126d3303ffff,2023-06-02,2,326.0
1167340,891126d06c3ffff,891126d3303ffff,2023-06-03,1,166.0
1167341,891126d06c3ffff,891126d3303ffff,2023-06-08,1,150.0
1167342,891126d06c3ffff,891126d3303ffff,2023-06-14,2,306.0
1167343,891126d06c3ffff,891126d3307ffff,2023-06-03,1,166.0
1167344,891126d06c3ffff,891126d3307ffff,2023-06-14,1,153.0
1167345,891126d06c3ffff,891126d330fffff,2023-06-02,1,163.0
1167346,891126d06c3ffff,891126d330fffff,2023-06-03,1,166.0
1167347,891126d06c3ffff,891126d330fffff,2023-06-04,1,160.0
1167348,891126d06c3ffff,891126d330fffff,2023-06-08,1,150.0
1167349,891126d06c3ffff,891126d3313ffff,2023-06-01,2,328.0
1167350,891126d06c3ffff,891126d3313ffff,2023-06-02,1,163.0
1167351,891126d06c3ffff,891126d3313ffff,2023-06-03,1,166.0
1167352,891126d06c3ffff,891126d3313ffff,2023-06-04,1,160.0
1167353,891126d06c3ffff,891126d3313ffff,2023-06-08,1,150.0
1167354,891126d06c3ffff,891126d3313ffff,2023-06-11,1,155.0
1167355,891126d06c3ffff,891126d3313ffff,2023-06-13,2,302.0
1167356,891126d06c3ffff,891126d3313ffff,2023-06-14,5,764.0
1167357,891126d06c3ffff,891126d3313ffff,2023-06-15,2,311.0
1167358,891126d06c3ffff,891126d3313ffff,2023-06-16,1,157.0
1167359,891126d06c3ffff,891126d3317ffff,2023-06-13,2,302.0
1167360,891126d06c3ffff,891126d3317ffff,2023-06-17,2,338.0
1167361,891126d06c3ffff,891126d331bffff,2023-06-22,1,190.0
1167362,891126d06c3ffff,891126d3323ffff,2023-06-14,1,153.0
1167363,891126d06c3ffff,891126d3323ffff,2023-06-17,2,338.0
1167364,891126d06c3ffff,891126d3327ffff,2023-06-03,1,166.0
1167365,891126d06c3ffff,891126d3327ffff,2023-06-04,1,160.0
1167366,891126d06c3ffff,891126d3327ffff,2023-06-06,1,145.0
1167367,891126d06c3ffff,891126d3327ffff,2023-06-11,1,155.0
1167368,891126d06c3ffff,891126d3327ffff,2023-06-13,1,151.0
1167369,891126d06c3ffff,891126d3327ffff,2023-06-25,1,223.0
1167370,891126d06c3ffff,891126d3327ffff,2023-06-26,1,223.0
1167371,891126d06c3ffff,891126d3327ffff,2023-06-27,1,230.0
1167372,891126d06c3ffff,891126d3327ffff,2023-06-29,1,241.0
1167373,891126d06c3ffff,891126d332fffff,2023-06-04,1,160.0
1167374,891126d06c3ffff,891126d332fffff,2023-06-06,1,145.0
1167375,891126d06c3ffff,891126d332fffff,2023-06-11,1,155.0
1167376,891126d06c3ffff,891126d332fffff,2023-06-13,1,151.0
1167377,891126d06c3ffff,891126d332fffff,2023-06-25,1,223.0
1167378,891126d06c3ffff,891126d332fffff,2023-06-26,1,223.0
1167379,891126d06c3ffff,891126d332fffff,2023-06-27,1,230.0
1167380,891126d06c3ffff,891126d332fffff,2023-06-29,1,241.0
1167381,891126d06c3ffff,891126d332fffff,2023-06-30,1,245.0
1167382,891126d06c3ffff,891126d3333ffff,2023-06-06,1,145.0
1167383,891126d06c3ffff,891126d3333ffff,2023-06-14,1,153.0
1167384,891126d06c3ffff,891126d3333ffff,2023-06-15,1,156.0
1167385,891126d06c3ffff,891126d3333ffff,2023-06-17,2,338.0
