,ORIGIN_CODE_R9,DESTINATION_CODE_R9,DAY,NUMBER_OF_USERS,EXTRAPOLATED_NUMBER_OF_USERS
2535960,891126d06c3ffff,891126d06c3ffff,2023-05-01,12,1452.0
2535961,891126d06c3ffff,891126d06c3ffff,2023-05-02,18,2088.0
2535962,891126d06c3ffff,891126d06c3ffff,2023-05-03,16,1797.0
2535963,891126d06c3ffff,891126d06c3ffff,2023-05-04,20,2160.0
2535964,891126d06c3ffff,891126d06c3ffff,2023-05-05,19,2054.0
2535965,891126d06c3ffff,891126d06c3ffff,2023-05-06,16,1728.0
2535966,891126d06c3ffff,891126d06c3ffff,2023-05-07,10,1090.0
2535967,891126d06c3ffff,891126d06c3ffff,2023-05-08,26,2626.0
2535968,891126d06c3ffff,891126d06c3ffff,2023-05-09,20,1999.0
2535969,891126d06c3ffff,891126d06c3ffff,2023-05-10,10,1010.0
2535970,891126d06c3ffff,891126d06c3ffff,2023-05-11,15,1471.0
2535971,891126d06c3ffff,891126d06c3ffff,2023-05-12,12,1185.0
2535972,891126d06c3ffff,891126d06c3ffff,2023-05-13,10,1020.0
2535973,891126d06c3ffff,891126d06c3ffff,2023-05-14,10,1002.0
2535974,891126d06c3ffff,891126d06c3ffff,2023-05-15,10,954.0
2535975,891126d06c3ffff,891126d06c3ffff,2023-05-16,11,1023.0
2535976,891126d06c3ffff,891126d06c3ffff,2023-05-17,7,679.0
2535977,891126d06c3ffff,891126d06c3ffff,2023-05-18,12,1113.0
2535978,891126d06c3ffff,891126d06c3ffff,2023-05-19,13,1224.0
2535979,891126d06c3ffff,891126d06c3ffff,2023-05-20,7,646.0
2535980,891126d06c3ffff,891126d06c3ffff,2023-05-21,7,686.0
2535981,891126d06c3ffff,891126d06c3ffff,2023-05-22,8,760.0
2535982,891126d06c3ffff,891126d06c3ffff,2023-05-23,10,923.0
2535983,891126d06c3ffff,891126d06c3ffff,2023-05-24,9,810.0
2535984,891126d06c3ffff,891126d06c3ffff,2023-05-25,17,1581.0
2535985,891126d06c3ffff,891126d06c3ffff,2023-05-26,7,658.0
2535986,891126d06c3ffff,891126d06c3ffff,2023-05-27,10,1111.0
2535987,891126d06c3ffff,891126d06c3ffff,2023-05-28,6,656.0
2535988,891126d06c3ffff,891126d06c3ffff,2023-05-29,10,1069.0
2535989,891126d06c3ffff,891126d06c3ffff,2023-05-30,10,1073.0
2535990,891126d06c3ffff,891126d06c3ffff,2023-05-31,4,429.0
2536007,891126d06c3ffff,891126d06cbffff,2023-05-04,1,108.0
2536008,891126d06c3ffff,891126d06cbffff,2023-05-05,2,216.0
2536009,891126d06c3ffff,891126d06cbffff,2023-05-06,1,108.0
2536010,891126d06c3ffff,891126d06cbffff,2023-05-07,1,109.0
2536011,891126d06c3ffff,891126d06cbffff,2023-05-08,2,202.0
2536012,891126d06c3ffff,891126d06cbffff,2023-05-10,1,101.0
2536013,891126d06c3ffff,891126d06cbffff,2023-05-11,1,98.0
2536014,891126d06c3ffff,891126d06cbffff,2023-05-14,1,100.0
2536015,891126d06c3ffff,891126d06cbffff,2023-05-23,1,92.0
2536016,891126d06c3ffff,891126d06cbffff,2023-05-26,1,94.0
2536037,891126d06c3ffff,891126d06d3ffff,2023-05-01,1,121.0
2536038,891126d06c3ffff,891126d06d3ffff,2023-05-03,3,336.0
2536039,891126d06c3ffff,891126d06d3ffff,2023-05-04,3,324.0
2536040,891126d06c3ffff,891126d06d3ffff,2023-05-05,4,432.0
2536041,891126d06c3ffff,891126d06d3ffff,2023-05-06,1,108.0
2536042,891126d06c3ffff,891126d06d3ffff,2023-05-08,1,101.0
2536043,891126d06c3ffff,891126d06d3ffff,2023-05-09,4,400.0
2536044,891126d06c3ffff,891126d06d3ffff,2023-05-10,1,101.0
2536045,891126d06c3ffff,891126d06d3ffff,2023-05-11,1,98.0
2536046,891126d06c3ffff,891126d06d3ffff,2023-05-12,1,99.0
2536047,891126d06c3ffff,891126d06d3ffff,2023-05-13,4,408.0
2536048,891126d06c3ffff,891126d06d3ffff,2023-05-14,1,100.0
2536049,891126d06c3ffff,891126d06d3ffff,2023-05-15,2,190.0
