,ORIGIN_CODE_R9,DESTINATION_CODE_R9,DAY,NUMBER_OF_USERS,EXTRAPOLATED_NUMBER_OF_USERS
1423209,891126d06c3ffff,891126d06c3ffff,2023-06-01,4,656.0
1423210,891126d06c3ffff,891126d06c3ffff,2023-06-02,6,977.0
1423211,891126d06c3ffff,891126d06c3ffff,2023-06-03,5,830.0
1423212,891126d06c3ffff,891126d06c3ffff,2023-06-04,1,160.0
1423213,891126d06c3ffff,891126d06c3ffff,2023-06-05,10,1491.0
1423214,891126d06c3ffff,891126d06c3ffff,2023-06-06,8,1159.0
1423215,891126d06c3ffff,891126d06c3ffff,2023-06-07,11,1628.0
1423216,891126d06c3ffff,891126d06c3ffff,2023-06-08,10,1502.0
1423217,891126d06c3ffff,891126d06c3ffff,2023-06-09,3,450.0
1423218,891126d06c3ffff,891126d06c3ffff,2023-06-10,7,1106.0
1423219,891126d06c3ffff,891126d06c3ffff,2023-06-11,4,620.0
1423220,891126d06c3ffff,891126d06c3ffff,2023-06-12,4,580.0
1423221,891126d06c3ffff,891126d06c3ffff,2023-06-13,7,1057.0
1423222,891126d06c3ffff,891126d06c3ffff,2023-06-14,3,459.0
1423223,891126d06c3ffff,891126d06c3ffff,2023-06-15,3,468.0
1423224,891126d06c3ffff,891126d06c3ffff,2023-06-16,6,942.0
1423225,891126d06c3ffff,891126d06c3ffff,2023-06-17,6,1014.0
1423226,891126d06c3ffff,891126d06c3ffff,2023-06-18,5,925.0
1423227,891126d06c3ffff,891126d06c3ffff,2023-06-19,4,725.0
1423228,891126d06c3ffff,891126d06c3ffff,2023-06-20,8,1350.0
1423229,891126d06c3ffff,891126d06c3ffff,2023-06-21,7,1252.0
1423230,891126d06c3ffff,891126d06c3ffff,2023-06-22,6,1140.0
1423231,891126d06c3ffff,891126d06c3ffff,2023-06-23,2,388.0
1423232,891126d06c3ffff,891126d06c3ffff,2023-06-25,2,446.0
1423233,891126d06c3ffff,891126d06c3ffff,2023-06-26,5,1116.0
1423234,891126d06c3ffff,891126d06c3ffff,2023-06-27,3,690.0
1423235,891126d06c3ffff,891126d06c3ffff,2023-06-29,1,241.0
1423236,891126d06c3ffff,891126d06c3ffff,2023-06-30,2,490.0
1423244,891126d06c3ffff,891126d06cbffff,2023-06-03,2,332.0
1423245,891126d06c3ffff,891126d06cbffff,2023-06-08,1,150.0
1423246,891126d06c3ffff,891126d06cbffff,2023-06-10,1,158.0
1423247,891126d06c3ffff,891126d06cbffff,2023-06-30,2,490.0
1423259,891126d06c3ffff,891126d06d3ffff,2023-06-02,2,326.0
1423260,891126d06c3ffff,891126d06d3ffff,2023-06-06,2,290.0
1423261,891126d06c3ffff,891126d06d3ffff,2023-06-07,1,148.0
1423262,891126d06c3ffff,891126d06d3ffff,2023-06-12,1,145.0
1423263,891126d06c3ffff,891126d06d3ffff,2023-06-15,1,156.0
1423264,891126d06c3ffff,891126d06d3ffff,2023-06-16,1,157.0
1423265,891126d06c3ffff,891126d06d3ffff,2023-06-20,1,169.0
1423266,891126d06c3ffff,891126d06d3ffff,2023-06-21,1,179.0
1423267,891126d06c3ffff,891126d06d3ffff,2023-06-22,1,190.0
1423268,891126d06c3ffff,891126d06d3ffff,2023-06-25,1,223.0
1423278,891126d06c3ffff,891126d06dbffff,2023-06-01,2,328.0
1423279,891126d06c3ffff,891126d06dbffff,2023-06-02,1,163.0
1423280,891126d06c3ffff,891126d06dbffff,2023-06-03,2,332.0
1423281,891126d06c3ffff,891126d06dbffff,2023-06-07,1,148.0
1423282,891126d06c3ffff,891126d06dbffff,2023-06-08,1,150.0
1423283,891126d06c3ffff,891126d06dbffff,2023-06-13,1,151.0
1423284,891126d06c3ffff,891126d06dbffff,2023-06-17,1,169.0
1423285,891126d06c3ffff,891126d06dbffff,2023-06-18,1,185.0
1423286,891126d06c3ffff,891126d06dbffff,2023-06-21,2,358.0
1423287,891126d06c3ffff,891126d06dbffff,2023-06-25,2,446.0
1423288,891126d06c3ffff,891126d06dbffff,2023-06-27,1,230.0
1423332,891126d06c3ffff,891126d159bffff,2023-06-03,1,166.0
1423397,891126d06c3ffff,891126d300bffff,2023-06-02,1,163.0
1423398,891126d06c3ffff,891126d300bffff,2023-06-20,1,169.0
1423399,891126d06c3ffff,891126d302fffff,2023-06-07,2,296.0
1423400,891126d06c3ffff,891126d3063ffff,2023-06-20,1,169.0
1423401,891126d06c3ffff,891126d3067ffff,2023-06-02,1,163.0
1423402,891126d06c3ffff,891126d306bffff,2023-06-09,1,150.0
1423419,891126d06c3ffff,891126d3147ffff,2023-06-06,1,145.0
1423420,891126d06c3ffff,891126d3147ffff,2023-06-07,1,148.0
1423421,891126d06c3ffff,891126d3147ffff,2023-06-08,2,301.0
1423422,891126d06c3ffff,891126d3147ffff,2023-06-09,1,150.0
1423423,891126d06c3ffff,891126d3147ffff,2023-06-10,1,158.0
1423424,891126d06c3ffff,891126d3147ffff,2023-06-13,2,302.0
1423425,891126d06c3ffff,891126d3147ffff,2023-06-15,2,311.0
1423426,891126d06c3ffff,891126d3147ffff,2023-06-17,1,169.0
1423427,891126d06c3ffff,891126d314fffff,2023-06-21,1,179.0
1423428,891126d06c3ffff,891126d3157ffff,2023-06-11,1,155.0
1423438,891126d06c3ffff,891126d316bffff,2023-06-17,1,169.0
1423439,891126d06c3ffff,891126d316bffff,2023-06-21,1,179.0
1423440,891126d06c3ffff,891126d316bffff,2023-06-25,1,223.0
1423447,891126d06c3ffff,891126d317bffff,2023-06-08,1,150.0
1423457,891126d06c3ffff,891126d31cbffff,2023-06-07,1,148.0
1423458,891126d06c3ffff,891126d31cfffff,2023-06-11,1,155.0
1423459,891126d06c3ffff,891126d3227ffff,2023-06-18,1,185.0
1423460,891126d06c3ffff,891126d32a7ffff,2023-06-09,1,150.0
1423461,891126d06c3ffff,891126d3303ffff,2023-06-03,3,498.0
1423462,891126d06c3ffff,891126d3303ffff,2023-06-08,3,450.0
1423463,891126d06c3ffff,891126d3303ffff,2023-06-13,2,302.0
1423464,891126d06c3ffff,891126d3303ffff,2023-06-15,1,156.0
1423465,891126d06c3ffff,891126d3307ffff,2023-06-03,3,498.0
1423466,891126d06c3ffff,891126d3307ffff,2023-06-07,1,148.0
1423467,891126d06c3ffff,891126d3307ffff,2023-06-08,2,300.0
1423468,891126d06c3ffff,891126d3307ffff,2023-06-11,2,310.0
1423469,891126d06c3ffff,891126d3307ffff,2023-06-13,1,151.0
1423470,891126d06c3ffff,891126d3307ffff,2023-06-14,1,153.0
1423471,891126d06c3ffff,891126d3307ffff,2023-06-16,1,157.0
1423472,891126d06c3ffff,891126d3307ffff,2023-06-17,2,338.0
1423473,891126d06c3ffff,891126d330fffff,2023-06-03,1,166.0
1423474,891126d06c3ffff,891126d330fffff,2023-06-14,1,153.0
1423475,891126d06c3ffff,891126d3313ffff,2023-06-01,1,164.0
1423476,891126d06c3ffff,891126d3313ffff,2023-06-02,1,163.0
1423477,891126d06c3ffff,891126d3313ffff,2023-06-03,3,498.0
1423478,891126d06c3ffff,891126d3313ffff,2023-06-04,1,160.0
1423479,891126d06c3ffff,891126d3313ffff,2023-06-05,2,298.0
1423480,891126d06c3ffff,891126d3313ffff,2023-06-08,3,451.0
1423481,891126d06c3ffff,891126d3313ffff,2023-06-11,2,310.0
1423482,891126d06c3ffff,891126d3313ffff,2023-06-13,3,454.0
1423483,891126d06c3ffff,891126d3313ffff,2023-06-14,5,763.0
1423484,891126d06c3ffff,891126d3313ffff,2023-06-15,1,156.0
1423485,891126d06c3ffff,891126d3313ffff,2023-06-16,2,314.0
1423486,891126d06c3ffff,891126d3317ffff,2023-06-03,1,166.0
1423487,891126d06c3ffff,891126d3317ffff,2023-06-11,3,465.0
1423488,891126d06c3ffff,891126d3317ffff,2023-06-14,2,306.0
1423489,891126d06c3ffff,891126d3317ffff,2023-06-15,1,156.0
1423490,891126d06c3ffff,891126d3317ffff,2023-06-16,1,157.0
1423491,891126d06c3ffff,891126d3317ffff,2023-06-17,2,338.0
1423492,891126d06c3ffff,891126d3317ffff,2023-06-18,1,185.0
1423493,891126d06c3ffff,891126d3323ffff,2023-06-20,1,169.0
1423494,891126d06c3ffff,891126d3327ffff,2023-06-02,1,163.0
1423495,891126d06c3ffff,891126d3327ffff,2023-06-03,1,166.0
1423496,891126d06c3ffff,891126d3327ffff,2023-06-04,1,160.0
1423497,891126d06c3ffff,891126d3327ffff,2023-06-11,1,155.0
1423498,891126d06c3ffff,891126d3327ffff,2023-06-13,2,302.0
1423499,891126d06c3ffff,891126d3327ffff,2023-06-20,1,169.0
1423500,891126d06c3ffff,891126d3327ffff,2023-06-25,1,223.0
1423501,891126d06c3ffff,891126d3327ffff,2023-06-26,1,223.0
1423502,891126d06c3ffff,891126d3327ffff,2023-06-27,1,230.0
