,ORIGIN_CODE_R9,DESTINATION_CODE_R9,DAY,NUMBER_OF_USERS,EXTRAPOLATED_NUMBER_OF_USERS
2596254,891126d06c3ffff,891126d06c3ffff,2023-05-01,5,605.0
2596255,891126d06c3ffff,891126d06c3ffff,2023-05-02,11,1276.0
2596256,891126d06c3ffff,891126d06c3ffff,2023-05-03,12,1348.0
2596257,891126d06c3ffff,891126d06c3ffff,2023-05-04,11,1188.0
2596258,891126d06c3ffff,891126d06c3ffff,2023-05-05,18,1945.0
2596259,891126d06c3ffff,891126d06c3ffff,2023-05-06,21,2268.0
2596260,891126d06c3ffff,891126d06c3ffff,2023-05-07,9,981.0
2596261,891126d06c3ffff,891126d06c3ffff,2023-05-08,11,1111.0
2596262,891126d06c3ffff,891126d06c3ffff,2023-05-09,14,1400.0
2596263,891126d06c3ffff,891126d06c3ffff,2023-05-10,10,1010.0
2596264,891126d06c3ffff,891126d06c3ffff,2023-05-11,11,1079.0
2596265,891126d06c3ffff,891126d06c3ffff,2023-05-12,14,1383.0
2596266,891126d06c3ffff,891126d06c3ffff,2023-05-13,10,1020.0
2596267,891126d06c3ffff,891126d06c3ffff,2023-05-14,15,1504.0
2596268,891126d06c3ffff,891126d06c3ffff,2023-05-15,7,666.0
2596269,891126d06c3ffff,891126d06c3ffff,2023-05-16,9,837.0
2596270,891126d06c3ffff,891126d06c3ffff,2023-05-17,5,485.0
2596271,891126d06c3ffff,891126d06c3ffff,2023-05-18,10,927.0
2596272,891126d06c3ffff,891126d06c3ffff,2023-05-19,9,848.0
2596273,891126d06c3ffff,891126d06c3ffff,2023-05-20,9,830.0
2596274,891126d06c3ffff,891126d06c3ffff,2023-05-21,7,686.0
2596275,891126d06c3ffff,891126d06c3ffff,2023-05-22,4,380.0
2596276,891126d06c3ffff,891126d06c3ffff,2023-05-23,7,646.0
2596277,891126d06c3ffff,891126d06c3ffff,2023-05-24,11,990.0
2596278,891126d06c3ffff,891126d06c3ffff,2023-05-25,7,651.0
2596279,891126d06c3ffff,891126d06c3ffff,2023-05-26,10,940.0
