,from_id,to_id,option,segment,transport_mode,departure_time,distance,travel_time,wait_time,route,geometry,mode,travel time (min),trip,Proj_distance,ghg_co2_emission
0,0,1,0,0,TransportMode.WALK,,3074.137,0 days 00:52:32,,,"LINESTRING (24.9579411 60.1687238, 24.9579334 60.1687296, 24.9577428 60.1687244, 24.9577395 60.168653, 24.9577409 60.1686358, 24.9573643 60.1686231, 24.9573632 60.1686366, 24.9573577 60.1687141, 24.9572862 60.1687122, 24.9570558 60.168706, 24.9570613 60.1686871, 24.9570369 60.1687218, 24.9569825 60.1691196, 24.9568813 60.1691175, 24.9568485 60.1691175, 24.9567844 60.1691165, 24.956722 60.1691156, 24.9566243 60.1691128, 24.956487 60.1691097, 24.9559525 60.1690976, 24.9559474 60.1691423, 24.9559455 60.1691572, 24.9558384 60.1691542, 24.9551212 60.1691343, 24.9550452 60.1691322, 24.9545994 60.1691198, 24.954282 60.1691115, 24.9540615 60.1691058, 24.9540002 60.1691045, 24.9538417 60.1691016, 24.9538018 60.169101, 24.9537476 60.1690997, 24.953544 60.1690924, 24.9535138 60.16909, 24.9533991 60.169082, 24.9532794 60.1690752, 24.9531026 60.1690704, 24.9530603 60.1690693, 24.9520799 60.169043, 24.9519902 60.1690404, 24.9513244 60.1690234, 24.9511286 60.1690199, 24.9510206 60.1690313, 24.9507534 60.1690245, 24.9504599 60.1690171, 24.9494351 60.1689913, 24.9493278 60.1689886, 24.9492269 60.1689862, 24.9474287 60.1689426, 24.9458916 60.1689033, 24.945772 60.1689011, 24.9455496 60.168897, 24.9443015 60.1688675, 24.9429068 60.1688334, 24.9429084 60.1688198, 24.9429098 60.1688076, 24.9426877 60.1688029, 24.9426804 60.1688069, 24.9424443 60.1687999, 24.9420346 60.1687902, 24.9420279 60.1687876, 24.941873 60.1687822, 24.9417993 60.1687772, 24.9417295 60.1687682, 24.9416614 60.1687512, 24.9415883 60.16873, 24.9415167 60.1687043, 24.94104 60.168522, 24.9410688 60.1685054, 24.9410616 60.1684718, 24.9411855 60.1683873, 24.9410837 60.1683254, 24.9409947 60.1682903, 24.9409777 60.1682835, 24.9409498 60.1682729, 24.9409444 60.1682704, 24.9409059 60.1682553, 24.9409034 60.1682543, 24.940882 60.1682458, 24.9408618 60.1682379, 24.9408307 60.1682256, 24.9407809 60.168206, 24.9407113 60.1681785, 24.940662 60.1682127, 24.940603 60.1681911, 24.9403516 60.1681026, 24.9401708 60.1680522, 24.9400859 60.1680285, 24.9400665 60.1680231, 24.9400264 60.1680091, 24.93992 60.167972, 24.939884 60.1679595, 24.9397664 60.1679184, 24.939589 60.1678565, 24.939403 60.1677917, 24.9393147 60.1677609, 24.9392956 60.1677555, 24.9392085 60.1677303, 24.9391226 60.1677008, 24.9390383 60.1676718, 24.9386959 60.1675542, 24.9379451 60.1672962, 24.9377216 60.1672194, 24.9376074 60.1671801, 24.9369482 60.1669536, 24.9368431 60.1669175, 24.9367534 60.1668867, 24.9365017 60.1668002, 24.9361937 60.1666944, 24.9359203 60.1666004, 24.9357624 60.1665461, 24.9352471 60.1663691, 24.9350793 60.1663115, 24.9350234 60.1662929, 24.9346433 60.1661616, 24.9346018 60.1661474, 24.9345148 60.1661175, 24.9344249 60.1660866, 24.9343725 60.1660682, 24.9340603 60.1659586, 24.9336949 60.1658303, 24.9334294 60.1657371, 24.933329 60.1657019, 24.9333066 60.165694, 24.9332802 60.1656847, 24.9332197 60.1656635, 24.9330048 60.165588, 24.9327267 60.1654902, 24.9321501 60.1652875, 24.9320932 60.1652675, 24.9319989 60.1652347, 24.9319105 60.1652039, 24.9318522 60.1651833, 24.9318064 60.1651671, 24.9314668 60.1650468, 24.9311335 60.1649288, 24.9310509 60.1648996, 24.9310021 60.1648823, 24.9306129 60.1647445, 24.9305437 60.16472, 24.9304799 60.1646974, 24.9298982 60.1644915, 24.9298759 60.1644836, 24.9297942 60.1644547, 24.9297534 60.1644402, 24.9297146 60.1644265, 24.9296873 60.1644168, 24.9294708 60.1643401, 24.9293229 60.1642878, 24.9292843 60.1642741, 24.9291845 60.1642401, 24.9290968 60.1642103, 24.9290562 60.1641963, 24.9289426 60.164157, 24.9286387 60.1640518, 24.9282399 60.1639137, 24.9280038 60.163832, 24.927846 60.1637774, 24.9277821 60.1637553, 24.9276771 60.163719, 24.9276121 60.1636965, 24.9275659 60.1636805, 24.9274293 60.1636339, 24.9273262 60.1635987, 24.9272651 60.1636403, 24.9259394 60.1631808, 24.9253152 60.1629655, 24.9248658 60.1628129, 24.9247606 60.1627766, 24.9237063 60.1624, 24.9233711 60.1626438, 24.9233231 60.1626277, 24.923299 60.1626184, 24.923277 60.16261, 24.9232315 60.1625944, 24.9231553 60.1626484, 24.9231147 60.1626773, 24.9230774 60.1626738, 24.9229684 60.1626812, 24.9228917 60.1626956, 24.9228413 60.1627003, 24.9227808 60.1627002, 24.9227337 60.1627063, 24.9226706 60.1627249, 24.9225883 60.1627553, 24.9224861 60.1627738, 24.92243 60.1627842, 24.9223801 60.1627982, 24.922336 60.1628202, 24.922221 60.1628987, 24.9221843 60.1629189, 24.92213 60.1629315, 24.9220833 60.1629318, 24.9220249 60.1629243, 24.9217477 60.162828, 24.9216837 60.1628241, 24.9216124 60.1628295, 24.9215372 60.1628441, 24.921439 60.1628653, 24.9213509 60.1628763, 24.9212459 60.1628803, 24.9210484 60.1628748, 24.9209907 60.162873, 24.9205404 60.1628597, 24.9203595 60.1628543, 24.9201974 60.1628495, 24.9201355 60.1628471, 24.9199367 60.1627906, 24.9193174 60.1627699, 24.9191377 60.1627639, 24.9190421 60.1627607, 24.9190488 60.162709, 24.9187188 60.1626979, 24.9174805 60.162649, 24.9173032 60.1626441, 24.9171447 60.1626315, 24.9166467 60.1626155, 24.9163959 60.1626074, 24.9161463 60.1625993, 24.915999 60.1625946, 24.915995 60.1625944, 24.9156918 60.1625862, 24.915702 60.1625715, 24.9155265 60.1625677, 24.9155319 60.1625298, 24.9153765 60.1625233, 24.9149116 60.1625079, 24.9148094 60.1625045, 24.9145612 60.1624962, 24.9144334 60.162492, 24.9140869 60.1624805, 24.9127349 60.1624355, 24.9126942 60.1624281, 24.9125623 60.1624059, 24.9123881 60.1623992, 24.9123032 60.1623963, 24.9114219 60.1623685, 24.911317 60.1623651, 24.9112668 60.1623634, 24.9111421 60.1623593, 24.9109939 60.1623545, 24.910945 60.1623529, 24.9099316 60.1623178, 24.9098342 60.1623144, 24.9096513 60.1623081, 24.9094993 60.1623028, 24.9087462 60.1622767, 24.9085453 60.1622698, 24.908405 60.1622649, 24.9083277 60.1622672, 24.9082428 60.1622831, 24.9082137 60.1622494)",TransportMode.WALK,52.53,0 to 1,3145.53,0.0
1,0,1,1,0,TransportMode.WALK,2022-02-22 08:32:12,906.231,0 days 00:15:28,0 days 00:00:00,,"LINESTRING (24.9579411 60.1687238, 24.9579334 60.1687296, 24.9577428 60.1687244, 24.9577395 60.168653, 24.9577409 60.1686358, 24.9573643 60.1686231, 24.9573632 60.1686366, 24.9573577 60.1687141, 24.9572862 60.1687122, 24.9570558 60.168706, 24.9570613 60.1686871, 24.9570369 60.1687218, 24.9569825 60.1691196, 24.9568813 60.1691175, 24.9568485 60.1691175, 24.9568448 60.169181, 24.956838 60.1692708, 24.9567111 60.1692691, 24.9565872 60.1692858, 24.9564881 60.1693172, 24.9563414 60.1693826, 24.9563169 60.1693766, 24.9562897 60.1693756, 24.9562637 60.1693798, 24.9562391 60.1693913, 24.956228 60.1694072, 24.956233 60.1694237, 24.9562529 60.1694373, 24.9561375 60.1695118, 24.956022 60.1695874, 24.9559083 60.1695853, 24.9559061 60.1696044, 24.9558811 60.1696036, 24.9558443 60.1699839, 24.9557569 60.1699813, 24.9556697 60.1699787, 24.9556621 60.1700415, 24.9554337 60.1700347, 24.9550465 60.1700239, 24.9548928 60.1700197, 24.9540099 60.1699952, 24.953665 60.1699856, 24.9535809 60.1699833, 24.9535515 60.1699825, 24.9535406 60.1700603, 24.9535089 60.1700589, 24.953467 60.1700574, 24.9534534 60.1701419, 24.9534233 60.1703624, 24.9533628 60.1703948, 24.9533301 60.1707844, 24.9533286 60.1707944, 24.9520958 60.1707591, 24.9513206 60.1707346, 24.9509569 60.1707229, 24.9509278 60.1707153, 24.9507952 60.1707118, 24.9506705 60.1707096, 24.9499578 60.1706834, 24.9492601 60.1706701, 24.949156 60.1706638, 24.9490585 60.1706614, 24.9490247 60.1706605, 24.9490164 60.1707366, 24.9489942 60.1707359, 24.948705 60.1707317, 24.9479716 60.1707082, 24.9477195 60.1707009, 24.9476872 60.1706991, 24.947657 60.1709788, 24.9476167 60.1712336, 24.9476129 60.171313, 24.9475782 60.1714656, 24.9474853 60.1714824, 24.9475231 60.1715304, 24.947629 60.1717159, 24.9477982 60.1719304, 24.9478687 60.172, 24.94785 60.172026)",TransportMode.WALK,15.47,0 to 1,969.26,0.0
2,0,1,1,1,TransportMode.SUBWAY,2022-02-22 08:57:00,,0 days 00:03:00,0 days 00:02:48,M1,"LINESTRING (24.94785 60.172026, 24.9398449 60.170388, 24.931183 60.168853)",TransportMode.SUBWAY,3.0,0 to 1,990.52,24.763
3,0,1,1,2,TransportMode.WALK,2022-02-22 09:01:00,27.443,0 days 00:00:24,0 days 00:01:14,,"LINESTRING (24.9312054 60.1687645, 24.9314681 60.168853, 24.9316692 60.1689209)",TransportMode.WALK,0.4,0 to 1,31.08,0.0
4,0,1,1,3,TransportMode.BUS,2022-02-22 09:02:00,,0 days 00:04:00,0 days 00:01:22,21,"LINESTRING (24.93146 60.16895, 24.92659 60.16594, 24.91112 60.16436)",TransportMode.BUS,4.0,0 to 1,1307.24,75.29702400000001
5,0,1,1,4,TransportMode.WALK,2022-02-22 09:07:00,418.828,0 days 00:07:05,0 days 00:00:00,,"LINESTRING (24.9082428 60.1622831, 24.9082137 60.1622494, 24.9082428 60.1622831, 24.9081261 60.1623871, 24.9081083 60.1623544, 24.9080812 60.1623189, 24.9080143 60.1629357, 24.9081508 60.1624964, 24.907982 60.1630624, 24.9079902 60.1630334, 24.9079652 60.163123, 24.9079716 60.1630996, 24.9079452 60.163169, 24.9078513 60.1636503, 24.9079174 60.1632301, 24.9078328 60.1639905, 24.9078593 60.1637976, 24.9078442 60.1637301, 24.9078279 60.1640657, 24.9078264 60.1641542, 24.9078356 60.1642979, 24.9081871 60.1643097, 24.9080479 60.1643054, 24.9088287 60.1643333, 24.9097118 60.164361, 24.9099791 60.1643687, 24.9111195 60.164408)",TransportMode.WALK,7.08,0 to 1,711.55,0.0
6,0,1,2,0,TransportMode.WALK,2022-02-22 08:35:37,457.536,0 days 00:07:50,0 days 00:00:00,,"LINESTRING (24.9579411 60.1687238, 24.9579334 60.1687296, 24.9577428 60.1687244, 24.9577395 60.168653, 24.9577409 60.1686358, 24.9573643 60.1686231, 24.9573632 60.1686366, 24.9573577 60.1687141, 24.9572862 60.1687122, 24.9570558 60.168706, 24.9570613 60.1686871, 24.9570369 60.1687218, 24.9569825 60.1691196, 24.9568813 60.1691175, 24.9568485 60.1691175, 24.9567844 60.1691165, 24.956722 60.1691156, 24.9566243 60.1691128, 24.956487 60.1691097, 24.9559525 60.1690976, 24.9558718 60.1690966, 24.9557798 60.169115, 24.9556699 60.1691132, 24.9555599 60.1691103, 24.9551901 60.1691008, 24.9551254 60.1690981, 24.955122 60.1691213, 24.9551212 60.1691343, 24.9550452 60.1691322, 24.9545994 60.1691198, 24.954282 60.1691115, 24.9540615 60.1691058, 24.9540002 60.1691045, 24.9538417 60.1691016, 24.9538018 60.169101, 24.9537476 60.1690997, 24.953544 60.1690924, 24.9535138 60.16909, 24.9533991 60.169082, 24.9532794 60.1690752, 24.9531026 60.1690704, 24.9530603 60.1690693, 24.9520799 60.169043, 24.9519902 60.1690404, 24.9513244 60.1690234, 24.9511286 60.1690199, 24.9510206 60.1690313, 24.9507534 60.1690245, 24.9507524 60.1690385, 24.9507514 60.1690511, 24.9499241 60.1690307, 24.949924 60.169031)",TransportMode.WALK,7.83,0 to 1,519.33,0.0
7,0,1,2,1,TransportMode.TRAM,2022-02-22 08:45:00,,0 days 00:05:00,0 days 00:01:47,7,"LINESTRING (24.949924 60.169031, 24.94613 60.16893, 24.94545 60.17035, 24.94061 60.1704)",TransportMode.TRAM,5.0,0 to 1,642.16,16.054
8,0,1,2,2,TransportMode.WALK,2022-02-22 08:51:00,52.393,0 days 00:00:52,0 days 00:01:04,,"LINESTRING (24.9415248 60.1704528, 24.9406728 60.170435, 24.9406097 60.1704336, 24.9404027 60.1704293, 24.9403998 60.1704735, 24.9401927 60.1704658, 24.9399122 60.1704396, 24.9398276 60.1704228, 24.9398276 60.1704228, 24.9398276 60.1704228, 24.9399122 60.1704396, 24.9401927 60.1704658)",TransportMode.WALK,0.87,0 to 1,120.57,0.0
9,0,1,2,3,TransportMode.SUBWAY,2022-02-22 08:53:00,,0 days 00:03:00,0 days 00:02:04,M1,"LINESTRING (24.9398449 60.170388, 24.931183 60.168853, 24.915563 60.163217)",TransportMode.SUBWAY,3.0,0 to 1,1580.68,39.517
